"","n_trials","alpha1_est","alpha2_est","alpha1_prior","alpha2_prior"
"300",100,0.47009,0.538605,0.714841,0.424389
"301",100,0.529473,0.654125,0.565952,0.585479
"302",100,0.649205,0.744622,0.730318,0.577518
"303",100,0.498187,0.333972,0.604027,0.476417
"304",100,0.651177,0.264134,0.668757,0.677149
"305",100,0.758094,0.600841,0.811337,0.575169
"306",100,0.819911,0.645975,0.756605,0.75805
"307",100,0.649526,0.580647,0.436619,0.44235
"308",100,0.639301,0.536955,0.627481,0.802722
"309",100,0.669938,0.768049,0.762438,0.687828
"310",100,0.702636,0.467857,0.654472,0.698996
"311",100,0.446016,0.448557,0.62855,0.725619
"312",100,0.476897,0.480846,0.625544,0.574655
"313",100,0.439057,0.549458,0.620143,0.777068
"314",100,0.425841,0.540681,0.458283,0.532493
"315",100,0.41516,0.768683,0.479442,0.498362
"316",100,0.369834,0.823319,0.572485,0.686448
"317",100,0.231278,0.803885,0.703407,0.53296
"318",100,0.312441,0.733755,0.600787,0.672234
"319",100,0.528096,0.462978,0.443593,0.783039
"320",100,0.534198,0.560725,0.435556,0.644115
"321",100,0.69892,0.509005,0.60052,0.716418
"322",100,0.788266,0.571039,0.628454,0.684431
"323",100,0.558703,0.701078,0.570473,0.47283
"324",100,0.711309,0.604648,0.64797,0.686163
"325",100,0.755053,0.572933,0.72804,0.513665
"326",100,0.765745,0.4958,0.562512,0.506015
"327",100,0.824297,0.651032,0.578226,0.609353
"328",100,0.35215,0.458356,0.574415,0.514422
"329",100,0.574001,0.756613,0.610502,0.728294
"330",100,0.586942,0.775498,0.668275,0.805464
"331",100,0.607649,0.787545,0.740108,0.539268
"332",100,0.391621,0.49812,0.597044,0.572689
"333",100,0.380101,0.501773,0.59701,0.625143
"334",100,0.443259,0.528477,0.532061,0.641439
"335",100,0.491219,0.528598,0.560776,0.690562
"336",100,0.66568,0.426437,0.525341,0.618532
"337",100,0.651864,0.429269,0.469714,0.671564
"338",100,0.414329,0.712356,0.587085,0.304815
"339",100,0.521286,0.68084,0.542635,0.672504
"340",100,0.555486,0.609954,0.633998,0.729441
"341",100,0.618928,0.519221,0.729574,0.532243
"342",100,0.633825,0.619215,0.511799,0.509942
"343",100,0.617001,0.595071,0.705549,0.739692
"344",100,0.611419,0.618894,0.757565,0.409931
"345",100,0.460468,0.515655,0.427379,0.527996
"346",100,0.46354,0.581171,0.862896,0.375991
"347",100,0.603728,0.414945,0.630863,0.752964
"348",100,0.607943,0.310704,0.643894,0.636921
"349",100,0.697571,0.506921,0.507486,0.571719
"350",100,0.524484,0.688983,0.523205,0.67266
"351",100,0.595425,0.705279,0.660695,0.723245
"352",100,0.583814,0.646105,0.585082,0.57981
"353",100,0.686541,0.577284,0.540093,0.645388
"354",100,0.67991,0.575965,0.536743,0.598409
"355",100,0.494376,0.605262,0.502063,0.694393
"356",100,0.415776,0.761671,0.475004,0.67284
"357",100,0.641675,0.771213,0.545301,0.73834
"358",100,0.507608,0.74983,0.430814,0.526837
"359",100,0.568667,0.510019,0.627995,0.759166
"360",100,0.583503,0.440254,0.645335,0.474165
"361",100,0.587701,0.364741,0.698742,0.641865
"362",100,0.65491,0.461971,0.451075,0.82744
